#wavelength (nm), radius_ratio (rr), error of rr (+), error of rr (-)
3.299604545339652304e+03,1.464797281321339184e-01,1.171356674619844496e-03,1.560453861887911575e-03
3.300280443837652001e+03,1.454146776328959501e-01,1.007493064675180072e-03,1.336772650514322924e-03
3.300956337579546016e+03,1.460892897381251554e-01,1.121928066319805017e-03,1.346913687237938362e-03
3.301632226563237055e+03,1.465163758604177136e-01,1.470946144408430412e-03,1.362331807013950069e-03
3.302308110786626912e+03,1.446847091507336147e-01,1.195476804597694898e-03,1.393394455446950175e-03
3.302983990247556903e+03,1.452759778888880193e-01,1.320209482654099986e-03,1.378386656669949861e-03
3.303659864943919274e+03,1.459613598243886534e-01,1.235069033984598219e-03,1.358750432044530942e-03
3.304335734873626279e+03,1.473174924536111430e-01,1.316055873636229334e-03,1.422870977097756562e-03
3.305011600034531966e+03,1.446203742898726496e-01,1.354964164163308116e-03,1.003682032321290274e-03
3.305687460424511755e+03,1.460525592316521959e-01,1.312228960776679054e-03,1.303429122418708896e-03
3.306363316041492453e+03,1.457436457501588289e-01,1.073463042258138156e-03,1.314027267521694631e-03
3.307039166883342205e+03,1.467580536532142599e-01,1.084185540738080711e-03,1.387140189095359410e-03
3.307715012947918694e+03,1.457519876003327830e-01,1.201930579700000168e-03,1.293432728467713844e-03
3.308390854233161463e+03,1.463375191507327588e-01,1.422022664988004115e-03,1.251220652746160011e-03
3.309066690736952751e+03,1.426957383601782370e-01,1.482554439745570329e-03,1.155927818770552395e-03
3.309742522457133418e+03,1.460020823292687286e-01,1.312153862928627790e-03,1.140173827653828686e-03
3.310418349391654374e+03,1.434430746071179708e-01,1.345309669474603620e-03,1.026601937482635174e-03
3.311094171538411501e+03,1.466614978715355400e-01,1.027707170214497978e-03,1.308978941987420930e-03
3.311769988895238384e+03,1.466614088455128195e-01,1.265193390055430189e-03,1.214827666045581456e-03
3.312445801460085931e+03,1.460622703544422474e-01,1.404442577155495808e-03,1.246718557386283788e-03
3.313121609230857757e+03,1.467932262615557204e-01,1.360860287459048079e-03,1.260824760759338137e-03
3.313797412205406090e+03,1.464058077672692471e-01,1.359684159684182436e-03,1.118290494561635651e-03
3.314473210381656372e+03,1.471790890328656676e-01,1.380082721755437891e-03,1.292555366118081084e-03
3.315149003757530409e+03,1.486378022499875162e-01,1.113985863509719954e-03,1.258233768479416481e-03
3.315824792330895889e+03,1.434155354923225545e-01,1.380107075706876740e-03,1.320530668745129033e-03
3.317176355061748836e+03,1.464588583061830207e-01,1.501871919458552807e-03,1.129503916866780866e-03
3.317852129215059904e+03,1.496294644486125258e-01,1.014406447198884509e-03,1.229722037636410414e-03
3.318527898557465505e+03,1.487946780703786054e-01,1.335219454777492043e-03,1.243939699266699561e-03
3.320555177698548505e+03,1.487938743960684762e-01,1.867922129012433707e-03,1.299804967075629536e-03
3.321230927776540739e+03,1.456567419663392093e-01,1.119587172031366595e-03,1.609283708066316931e-03
3.321906673033222887e+03,1.446031856329109688e-01,1.214325472483679391e-03,1.056095036591458980e-03
3.322582413466458092e+03,1.462311241919881377e-01,1.078692668988828762e-03,1.585723273318601079e-03
3.323258149074193170e+03,1.441778630284075713e-01,1.265265135089094217e-03,1.444822026179487517e-03
3.323933879854357201e+03,1.465476447183068909e-01,1.296659766390456658e-03,1.350439863453178901e-03
3.324609605804836974e+03,1.440233830966641260e-01,1.174279437903547052e-03,1.488180419249612862e-03
3.325285326923546108e+03,1.472028933889104607e-01,1.313506627568544749e-03,1.175886391478447868e-03
3.325961043208434603e+03,1.455812063787053634e-01,1.353329281412352092e-03,1.510110751747034685e-03
3.326636754657413348e+03,1.466689436804127222e-01,1.359296980947471978e-03,1.196000101210098476e-03
3.327312461268356401e+03,1.458755359246035610e-01,1.089927539185769900e-03,1.334665135440976647e-03
3.327988163039241954e+03,1.452535844682159016e-01,1.136821147969147017e-03,1.382285339151301251e-03
3.328663859967989083e+03,1.448616797655544741e-01,1.126154539348778183e-03,1.428844038529886173e-03
3.329339552052468662e+03,1.432211351962573154e-01,1.297786564967151612e-03,1.470537592757892309e-03
3.330015239290647969e+03,1.452073517572538275e-01,1.246452229028277570e-03,1.185516157266475190e-03
3.330690921680463816e+03,1.463793226488964150e-01,1.336273071725346817e-03,1.211961874299838371e-03
3.331366599219807995e+03,1.452943183664016369e-01,1.196320928822575125e-03,1.407636971026277051e-03
3.332042271906610949e+03,1.474250659507558292e-01,1.105506699231872947e-03,1.548052975338831683e-03
3.332717939738832229e+03,1.437703662779389879e-01,1.530791297470246448e-03,1.174664824043214484e-03
3.333393602714389544e+03,1.459945533310123000e-01,1.209977049996341369e-03,1.251846994242827860e-03
3.334069260831174233e+03,1.427142050490589065e-01,1.223387316665852653e-03,1.451517734346180477e-03
3.334744914087165853e+03,1.465769978136977902e-01,1.261860334122455463e-03,1.192927735765125785e-03
3.335420562480301214e+03,1.480336550828764142e-01,1.077285343829254005e-03,1.218392422039887846e-03
3.336096206008461650e+03,1.476265136041681192e-01,1.359618698412445870e-03,1.332307615004496570e-03
3.336771844669619895e+03,1.461789725891445291e-01,1.200331109736052504e-03,1.308466344263597980e-03
3.337447478461724586e+03,1.443523346199683810e-01,1.401514783360230387e-03,1.363845057371249059e-03
3.338123107382687522e+03,1.468972371117702180e-01,1.226709408459730755e-03,1.240013026276465258e-03
3.338798731430434145e+03,1.455152306837894649e-01,1.190291797976805732e-03,1.423652235403777278e-03
3.339474350602940376e+03,1.449212164610973741e-01,1.162186222364497423e-03,1.293723054472534217e-03
3.340149964898146209e+03,1.471055574695390722e-01,1.142286301979655860e-03,1.360549006248240600e-03
3.340825574313932066e+03,1.462911351363383183e-01,1.453152024915999041e-03,9.427061566459893349e-04
3.341501178848299787e+03,1.438372107012315382e-01,1.376475762105811018e-03,1.045898134624967390e-03
3.342176778499193460e+03,1.461832485600318976e-01,1.246667203018830827e-03,1.267769175734984044e-03
3.342852373264522157e+03,1.454911120522402179e-01,1.571723475473019160e-03,1.150616053707226305e-03
3.343527963142237695e+03,1.466443870243451242e-01,1.405077892772638171e-03,1.308986965003089420e-03
3.344203548130315085e+03,1.472926312497419288e-01,1.323464116285699710e-03,1.237524296089920206e-03
3.344879128226692956e+03,1.482621137976827541e-01,1.228310931078363533e-03,1.310492243960403869e-03
3.345554703429274014e+03,1.470652187616008078e-01,1.281788364666441860e-03,1.478768533092561510e-03
3.346230273736058734e+03,1.452596845044771823e-01,1.513124157179496221e-03,1.581737345060785227e-03
3.346905839145000300e+03,1.452431975492128047e-01,1.262122567573437104e-03,1.551270003631616268e-03
3.347581399654007782e+03,1.475657439074284372e-01,1.309030569120267495e-03,1.272800452613520594e-03
3.348256955261052553e+03,1.474820716185312186e-01,1.926319471118820292e-03,1.717541958034529692e-03
3.348932505964109623e+03,1.453303214727897363e-01,1.450809512040490690e-03,1.223216527598436354e-03
3.349608051761123534e+03,1.469959759803876609e-01,1.187252633716107120e-03,1.256729213873042372e-03
3.350283592650008814e+03,1.460117524238331854e-01,1.001272605718611652e-03,1.441978478707972577e-03
3.350959128628770941e+03,1.461330288739918215e-01,1.413420419514421766e-03,1.250326033539667092e-03
3.351634659695368555e+03,1.454527486728447727e-01,1.199340267302256846e-03,1.203823492966216158e-03
3.352310185847718003e+03,1.455822553754059501e-01,1.152647106611087713e-03,1.345672288592419941e-03
3.352985707083801572e+03,1.472485049647609956e-01,1.053268618568248272e-03,1.254996692488602461e-03
3.353661223401596544e+03,1.454452185524062191e-01,1.165653830215579445e-03,1.447670770982262267e-03
3.354336734799056558e+03,1.473102714541598135e-01,1.332480726168511209e-03,1.089883345606862397e-03
3.355012241274103417e+03,1.464296744443548404e-01,1.315269618830633425e-03,1.326519501557932301e-03
3.355687742824748057e+03,1.460597451500571520e-01,1.055368262912470545e-03,1.349394940994258496e-03
3.356363239448956392e+03,1.470608608705046283e-01,1.427026584830598521e-03,1.051182326137878320e-03
3.357038731144658868e+03,1.452653626885172522e-01,1.226605752727122356e-03,1.414373209823321931e-03
3.357714217909832314e+03,1.448887065816774899e-01,1.030483584523622653e-03,1.418950686577519216e-03
3.358389699742467201e+03,1.423593326846840368e-01,1.337456699821326644e-03,1.376457779975387430e-03
3.359065176640531718e+03,1.450505355449677736e-01,1.173337275543362423e-03,1.332603141407734393e-03
3.359740648601938574e+03,1.464822551621889346e-01,1.186397693274193754e-03,1.397410854897696009e-03
3.360416115624715530e+03,1.464884434903436228e-01,1.301179564703408564e-03,1.244010505781961706e-03
3.361091577706833505e+03,1.481736668364015408e-01,1.143720856229019089e-03,1.351937804378339214e-03
3.361767034846239767e+03,1.448831827747357748e-01,1.625312532339023841e-03,1.252785146550361439e-03
3.362442487040897959e+03,1.462207492079208582e-01,1.475825870737912382e-03,1.073526841971178536e-03
3.363117934288816741e+03,1.481621535305114312e-01,1.252447197143652380e-03,1.355166192864631913e-03
3.363793376587972489e+03,1.448093379740800213e-01,1.091895800859554733e-03,1.337051992007926016e-03
3.364529537663885549e+03,1.445718123378428865e-01,1.209056198652747049e-03,1.630419089126144971e-03
3.365204972163854563e+03,1.464694746755901833e-01,1.077769636038811152e-03,1.183842242855948079e-03
3.365880401708562658e+03,1.477378830527130149e-01,1.158956257841792237e-03,1.422662535749991131e-03
3.366555826296042596e+03,1.445502077619097159e-01,1.239102395865554485e-03,1.461655946258438865e-03
3.367231245924275754e+03,1.470049601206348533e-01,1.430567059680892816e-03,1.149896336216843507e-03
3.367906660591226228e+03,1.458482784905081875e-01,1.140020514924872108e-03,1.391517004843800809e-03
3.368582070294855839e+03,1.459446176974517895e-01,1.407969467229347460e-03,1.307810612744680911e-03
3.369257475033184619e+03,1.437022626022284033e-01,1.364559283320659899e-03,1.326388621842117255e-03
3.369932874804198946e+03,1.464232536031379595e-01,1.334756233542261361e-03,1.331000109913937912e-03
3.370608269605845635e+03,1.458202795795855433e-01,1.245313017608634665e-03,1.270763428496718417e-03
3.371283659436128801e+03,1.485932360087627302e-01,1.152034245150118652e-03,1.593865626847879025e-03
3.371959044293054376e+03,1.459064651089863607e-01,1.485605053493793681e-03,1.141036715372883981e-03
3.372634424174610103e+03,1.458634519294746967e-01,1.341533026168434395e-03,1.193523076364555457e-03
3.373309799078733249e+03,1.466140979733330518e-01,1.404055809313659031e-03,1.379509380100896188e-03
3.373985169003462488e+03,1.445139044331668066e-01,1.264966549164886489e-03,1.363341548013097260e-03
3.374660533946793294e+03,1.472734068980065814e-01,1.366040750652441904e-03,1.184712051298802971e-03
3.375335893906702495e+03,1.437229013861043847e-01,1.201921246123283105e-03,1.181432882718047583e-03
3.376011248881154188e+03,1.462715104796645516e-01,1.261749509293891292e-03,1.257638640613595316e-03
3.376686598868184319e+03,1.454873928716997056e-01,1.341159040257222657e-03,1.059572566255745363e-03
3.377361943865788362e+03,1.469294176555779319e-01,1.096434804028184606e-03,1.342223866715036573e-03
3.378037283871934051e+03,1.473951838749081311e-01,1.189544879236059671e-03,1.652243336595499157e-03
3.378712618884616404e+03,1.457580254108347684e-01,1.311520032212354359e-03,9.659351638956481523e-04
3.379387948901861819e+03,1.471378767165281709e-01,1.373166122534991151e-03,1.502486173587752605e-03
3.380063273921669406e+03,1.451831852396449629e-01,1.679342482033108208e-03,1.005771300575220017e-03
3.380738593941996442e+03,1.457821247608995785e-01,1.051099239839342614e-03,1.534948016404302784e-03
3.381413908960870231e+03,1.447972298013075754e-01,1.474401039077283260e-03,1.438168528032884863e-03
3.382089218976307166e+03,1.470111000599247375e-01,1.501133033827262153e-03,1.211070206573683361e-03
3.382764523986308632e+03,1.459444239715521341e-01,1.112312613496341251e-03,1.378735181730122994e-03
3.383439823988825083e+03,1.460114045744576594e-01,1.298995592240004271e-03,1.251914111431773335e-03
3.384115118981909291e+03,1.454054538962800402e-01,1.092452422164824632e-03,1.477281023520682357e-03
3.384790408963571736e+03,1.468474624203862655e-01,1.371244608985633384e-03,1.213578478620830348e-03
3.385465693931809255e+03,1.463255493709460509e-01,1.336870239654508463e-03,1.070954009426139386e-03
3.386140973884588220e+03,1.476690430538238896e-01,1.262566785441954220e-03,1.190639281606648003e-03
3.386816248819965040e+03,1.453172646016039904e-01,1.284943773021740565e-03,1.429467258263567020e-03
3.387491518735946556e+03,1.454296292019974790e-01,1.169732084573299469e-03,1.340113337303855401e-03
3.388166783630528698e+03,1.478361748243775531e-01,1.099542967751915290e-03,1.494698460195953427e-03
3.388842043501697390e+03,1.465380037623982279e-01,1.204708837130641363e-03,1.414179120836439596e-03
3.389517298347503583e+03,1.459554745883764326e-01,1.165071449080290478e-03,1.338755294418431108e-03
3.390192548165960034e+03,1.441144093704875562e-01,1.104956021125147458e-03,1.401269357966611340e-03
3.390867792955055847e+03,1.468780460324836112e-01,1.260599858477290391e-03,1.370125036959157772e-03
3.391543032712798777e+03,1.441490310051682100e-01,1.171802835684632171e-03,1.295914320145863385e-03
3.392218267437232953e+03,1.457800347710087319e-01,1.271578354481023299e-03,1.240392259645756168e-03
3.392893497126375678e+03,1.466241275211475903e-01,1.407895612488524462e-03,1.204275752027694768e-03
3.393568721778215604e+03,1.450156447615522093e-01,1.379546920948465649e-03,1.256641463330987474e-03
3.394243941390771852e+03,1.475873623633699172e-01,1.261782994861043727e-03,1.396313188463255139e-03
3.394919155962090827e+03,1.458539887606632446e-01,1.266776533927288506e-03,1.356208575786999049e-03
3.395594365490190285e+03,1.463594523311084195e-01,1.364640128737604208e-03,1.346270728786874704e-03
3.396269569973061152e+03,1.494011474902824099e-01,1.521009374964715777e-03,1.301605740570144221e-03
3.396944769408732554e+03,1.446291348837933644e-01,1.317745348637766600e-03,1.517970431783005614e-03
3.397619963795249532e+03,1.452727869173738862e-01,1.344553436756240616e-03,1.182258849864781247e-03
3.398295153130636209e+03,1.472019349043729441e-01,1.229500740533961967e-03,1.397573581666838871e-03
3.398970337412881690e+03,1.473074688738679194e-01,1.220363320994122258e-03,1.243721844942369259e-03
3.399645516640026017e+03,1.468729283748403669e-01,1.294582712610986563e-03,1.258101693293989243e-03
3.400320690810114229e+03,1.476326179785053538e-01,1.323509561974162141e-03,1.133710561250417248e-03
3.400995859921173633e+03,1.465669923855924539e-01,1.203584942438246097e-03,1.310940142249611418e-03
3.401671023971196519e+03,1.447726343540953753e-01,1.014710088572401414e-03,1.626398242514093262e-03
3.402346182958228383e+03,1.480236651277094251e-01,1.265923594289591891e-03,1.242705951798594999e-03
3.403021336880316994e+03,1.473895598300408449e-01,1.167319800388477713e-03,1.476176912320298351e-03
3.403696485735492843e+03,1.453524158115080400e-01,1.493885276996453904e-03,1.279407433227908175e-03
3.404371629521752311e+03,1.429838607710017806e-01,1.318629776922264352e-03,1.318776080543176965e-03
3.405046768237144988e+03,1.447179525381472320e-01,1.367234472814782276e-03,1.315133643846194689e-03
3.405721901879720463e+03,1.450114094466904147e-01,1.684438445985148025e-03,1.246273268187297889e-03
3.406397030447511952e+03,1.448352911973117829e-01,1.496832847866280680e-03,1.995545297618472880e-03
3.407072153938525389e+03,1.467323098653227909e-01,1.249170115090320055e-03,1.268987926392239896e-03
3.407747272350804906e+03,1.469105681166389399e-01,1.324723826875734423e-03,1.275403961132431929e-03
3.408422385682409185e+03,1.449636185619107009e-01,1.210080607428026811e-03,1.533858331016380028e-03
3.409097493931375084e+03,1.468853534941788608e-01,1.284451308149581195e-03,1.167438289444183708e-03
3.409772597095714445e+03,1.465974580525828685e-01,1.143725466952100200e-03,1.631400902878998860e-03
3.410447695173467764e+03,1.445779736930383752e-01,1.298938796759990799e-03,1.506560270996826212e-03
3.411122788162699180e+03,1.453552720014922861e-01,1.298949740825866561e-03,1.513672531479326455e-03
3.411797876061451461e+03,1.451239404010409295e-01,1.293600304648728772e-03,1.264866211671877849e-03
3.412472958867743728e+03,1.469644831469569812e-01,1.314986744729601531e-03,1.363033618218212339e-03
3.413148036579611016e+03,1.465378643540997672e-01,1.209432293577367146e-03,1.688711521188490661e-03
3.413823109195125653e+03,1.448432280286043317e-01,2.109651055550249010e-03,1.778089020261636177e-03
3.414498176712331770e+03,1.445513209684239908e-01,1.207358926730600635e-03,1.309820063082833830e-03
3.415173239129260764e+03,1.458497324995643718e-01,1.540074928012252764e-03,1.304109687197380074e-03
3.415848296443937670e+03,1.484013440982761556e-01,1.292677741515951828e-03,1.505446484354605596e-03
3.416523348654444362e+03,1.442483883102892439e-01,1.294875940199502473e-03,1.322653573700705021e-03
3.417198395758828156e+03,1.458932589228953414e-01,1.396487971700000053e-03,1.111540566235913463e-03
3.417873437755134091e+03,1.460114321046823149e-01,1.521250284243297335e-03,1.140608832421452501e-03
3.418548474641371286e+03,1.465838125450525387e-01,1.218832339457742719e-03,1.059534939487877248e-03
3.419223506415633892e+03,1.490051543939008294e-01,1.193228557377551402e-03,1.433122100832462387e-03
3.419898533075974683e+03,1.457259781731231052e-01,1.343364734656377069e-03,1.170592742839843270e-03
3.420573554620444611e+03,1.456591009485178057e-01,1.224807574327912985e-03,1.248345499551412052e-03
3.421248571047053701e+03,1.468248413135882224e-01,1.312117663984646576e-03,1.355668974934581827e-03
3.421923582353891561e+03,1.463592839933556267e-01,1.155697513125913956e-03,1.218471248863428613e-03
3.422598588539020966e+03,1.449894531558095778e-01,1.162013284025653626e-03,1.422978915012806933e-03
3.423273589600495143e+03,1.455924755428366080e-01,1.449353039201156657e-03,1.093784478931381088e-03
3.423948585536341398e+03,1.459309266867233335e-01,1.268033019371672676e-03,1.361861220581045417e-03
3.424623576344628873e+03,1.472305354345582740e-01,1.356585800458248725e-03,1.168370183220440728e-03
3.425298562023433078e+03,1.461316852007413791e-01,1.257425172144638337e-03,1.061614941400751411e-03
3.425973542570812697e+03,1.473250068152404668e-01,1.153940470603354029e-03,1.478632812820540599e-03
3.426648517984811406e+03,1.479020107585408139e-01,1.478309262114813061e-03,1.375252367415424892e-03
3.427323488263472882e+03,1.439278115437935546e-01,1.357540179748817355e-03,1.201018184231517072e-03
3.427998453404892643e+03,1.490589620599604981e-01,1.133215699587436509e-03,1.281842348735184878e-03
3.428673413407131648e+03,1.464734734195324850e-01,1.696370120934598269e-03,1.151164609255267424e-03
3.429348368268249487e+03,1.432014367215887207e-01,3.353175420376663940e-03,2.892890062233310910e-03
3.430023317986267102e+03,1.446163974469336644e-01,1.057177203038633939e-03,1.674820752980088479e-03
3.430698262559294562e+03,1.425313597926264331e-01,1.527074321069327167e-03,1.394969757199271410e-03
3.431373201985398737e+03,1.482957049283393780e-01,1.222654654911919936e-03,1.294261175377037221e-03
3.432048136262643766e+03,1.427155540092677755e-01,1.387759260837340136e-03,1.436167162807644448e-03
3.432723065389063777e+03,1.479303866813457824e-01,1.231286627373151532e-03,1.392331071860070102e-03
3.433397989362746102e+03,1.489241722951872016e-01,1.123934004322313385e-03,1.330721403768719835e-03
3.434072908181773528e+03,1.454222126224660738e-01,1.304899354598265671e-03,1.377931925270109437e-03
3.434747821844215650e+03,1.461588607862039924e-01,1.220340696372945732e-03,1.286431249226560602e-03
3.435422730348127516e+03,1.475676561280532262e-01,1.253014653851802773e-03,1.267723591158093077e-03
3.436097633691563260e+03,1.449102592602873329e-01,1.618015893988078435e-03,1.208610011283861585e-03
3.436772531872625223e+03,1.464076964686503168e-01,1.335875707340727914e-03,1.246100055236620818e-03
3.437447424889388003e+03,1.474763182619941992e-01,1.243295559960222452e-03,1.490255030930948132e-03
3.438122312739924837e+03,1.461957411869414525e-01,1.265272370409242786e-03,1.296791011967696194e-03
3.438797195422268942e+03,1.454756498016306632e-01,1.115683605876049977e-03,1.244577188722006955e-03
3.439472072934530388e+03,1.470555581388316435e-01,1.284742737474475760e-03,1.238530683972671742e-03
3.440146945274790141e+03,1.459038684004071995e-01,1.250733914813811909e-03,1.323402039784454809e-03
3.440821812441125985e+03,1.433632391182402266e-01,1.286414969181720602e-03,1.554223285215566852e-03
3.441496674431597057e+03,1.447109381775859016e-01,1.120466969461303419e-03,1.518813129542689877e-03
3.442171531244271591e+03,1.462426800478466571e-01,1.222014873114324329e-03,1.411679858755982009e-03
3.442846382877255110e+03,1.448250444850337215e-01,1.223196776177409850e-03,1.260709120371378278e-03
3.443521229328631307e+03,1.452685084229812240e-01,1.214592922225310456e-03,1.289713292177724346e-03
3.444196070596477966e+03,1.454174656691015755e-01,1.455041042691646025e-03,1.205321867883579756e-03
3.444870906678835581e+03,1.467057424754429629e-01,1.272285303210135554e-03,1.289598179848333581e-03
3.445545737573823317e+03,1.473251290983263184e-01,1.230556068539750969e-03,1.230447697560616005e-03
3.446220563279527596e+03,1.462076077380107808e-01,1.666164009845122473e-03,8.736526251383325281e-04
3.446895383794035297e+03,1.470425711450196737e-01,1.099761227738305092e-03,1.550416121452652396e-03
3.447570199115414653e+03,1.460044093944997123e-01,1.608242408701554549e-03,1.249868831405653857e-03
3.448245009241734351e+03,1.436679352593586145e-01,1.236402720184881510e-03,1.438188444857158022e-03
3.448919814171111284e+03,1.460768218122386330e-01,1.259766844572379751e-03,1.261434661914057065e-03
3.449594613901633238e+03,1.446972420455421848e-01,1.505071570739396902e-03,1.317921103983821229e-03
3.450269408431388456e+03,1.465787853785454620e-01,1.051925548284704526e-03,1.593554135194935606e-03
3.450944197758431073e+03,1.427223599278318322e-01,1.480681250463439236e-03,1.156352091556234196e-03
3.451618981880871161e+03,1.462569923172931108e-01,1.125050504449942590e-03,1.417922277715560897e-03
3.452293760796812876e+03,1.445502458598729723e-01,1.633927708208526841e-03,9.286870190755580623e-04
3.452968534504344007e+03,1.434056921804048867e-01,1.340076224151026674e-03,1.152480960558033285e-03
3.453643303001555523e+03,1.467593336791542802e-01,1.524931364471043826e-03,1.149721290707728105e-03
3.454318066286501107e+03,1.429205472912309371e-01,1.267201546196999873e-03,1.195315821041986748e-03
3.454992824357314475e+03,1.480399185432050568e-01,1.312905334046460260e-03,1.246370126826989999e-03
3.455667577212087508e+03,1.436807526844363081e-01,1.262512261985898609e-03,1.385812036646116852e-03
3.456342324848920271e+03,1.458785501174531540e-01,1.128028117547585918e-03,1.320205476146862900e-03
3.457017067265887363e+03,1.450837069720957717e-01,1.319938358614491936e-03,1.224852441009033344e-03
3.457691804461076117e+03,1.471719436075130671e-01,9.533262549401844144e-04,1.467693879045744998e-03
3.458366536432607518e+03,1.474273355801999918e-01,1.241813296434746139e-03,1.182944655203105322e-03
3.459041263178584359e+03,1.458237381128697496e-01,1.478604292793561648e-03,1.322578852687883444e-03
3.459715984697101248e+03,1.439949517900125098e-01,1.078382204057426463e-03,1.465098443172940801e-03
3.460390700986233242e+03,1.470394034020364171e-01,1.422289203441506888e-03,1.090136272326014399e-03
3.461065412044086315e+03,1.480915906536752202e-01,1.266983399359683515e-03,1.254516774446573502e-03
3.461740117868780999e+03,1.470584728111132278e-01,1.282983848393509652e-03,1.251555091411560294e-03
3.462414818458420086e+03,1.446316306324537670e-01,1.497661705947644917e-03,1.092346753744838361e-03
3.463089513811103188e+03,1.441483573679289143e-01,1.403815924158863249e-03,1.259798522725841252e-03
3.463764203924898993e+03,1.459427124784229979e-01,1.097733408860768201e-03,1.704640954838826383e-03
3.464438888797936670e+03,1.459573534929870520e-01,1.162817757210388159e-03,1.565168768802083221e-03
3.465113568428332201e+03,1.449075917860955243e-01,1.274973410700069865e-03,1.200029506098265752e-03
3.465788242814187470e+03,1.463293028835707665e-01,1.237755841972276727e-03,1.262259359307099649e-03
3.466462911953610273e+03,1.434938387081691191e-01,1.240850723794928445e-03,1.345603894419761248e-03
3.467137575844666117e+03,1.453028247268712270e-01,1.268825479819518653e-03,1.390982799666706793e-03
3.467812234485499630e+03,1.467641916608823927e-01,1.318116665940921584e-03,1.412443550902781064e-03
3.468486887874223612e+03,1.470329294892697425e-01,1.254469386641865469e-03,1.238438082993731371e-03
3.469161536008945404e+03,1.471485173503442601e-01,1.356273033262189731e-03,1.393315243921972035e-03
3.469836178887772348e+03,1.455805566393039152e-01,1.229974151818524764e-03,1.452423445522599277e-03
3.470510816508777680e+03,1.455451917657952232e-01,1.374794482816854568e-03,1.313508396918461330e-03
3.471185448870111941e+03,1.465023747499676343e-01,1.484372835565045401e-03,1.244886900519520667e-03
3.471860075969885656e+03,1.474178703842047300e-01,1.186272853263642402e-03,1.228557586470779839e-03
3.472534697806213899e+03,1.476391391062860659e-01,1.286131471982032703e-03,1.186254467109237876e-03
3.473209314377204009e+03,1.460766082166627400e-01,1.381643624999540076e-03,1.369176218374956733e-03
3.473883925680936500e+03,1.462223681248229767e-01,1.053290616957081038e-03,1.460832180208093689e-03
3.474558531715564641e+03,1.477921001682389324e-01,1.071900906963962896e-03,1.371810494890962628e-03
3.475233132479202595e+03,1.470468405184385818e-01,1.393432165367136655e-03,1.611429241209660912e-03
3.475907727969968164e+03,1.472643877808755275e-01,1.715990214922219481e-03,1.033073045992677352e-03
3.476582318185974600e+03,1.454051485699841273e-01,1.327389963607705781e-03,1.524264257265595113e-03
3.477256903125301505e+03,1.462853557094248580e-01,1.241897080148851584e-03,1.230967861751558479e-03
3.477931482786108973e+03,1.474854484939647215e-01,1.312370567961934631e-03,1.335618603451549369e-03
3.478606057166514347e+03,1.467023708342942157e-01,1.051276009598506311e-03,1.595951703088099860e-03
3.479280626264636794e+03,1.459852898074062433e-01,1.145411611950281072e-03,1.477186477444880630e-03
3.479955190078599117e+03,1.456146535299550349e-01,1.572656511492326326e-03,1.041601962022964400e-03
3.480629748606479097e+03,1.456269193628638159e-01,1.277662323668715683e-03,1.582317838554669898e-03
3.481304301846440012e+03,1.453470238609972376e-01,1.007534702203355392e-03,1.654820785260746607e-03
3.481978849796604663e+03,1.438169393589047163e-01,1.452230545463617517e-03,1.343127346639744202e-03
3.482653392455096764e+03,1.452460591820131097e-01,1.400841451855011632e-03,1.270056721160456314e-03
3.483327929820038662e+03,1.457062386682267396e-01,1.162314404405978552e-03,1.284675214176550506e-03
3.484002461889522237e+03,1.448886446703849806e-01,1.359408937742057066e-03,1.254621742326877953e-03
3.484676988661700761e+03,1.469037803469242787e-01,1.466134676971597717e-03,1.247564683057561519e-03
3.485351510134705222e+03,1.463944030900103943e-01,1.473402291781056306e-03,1.520880878113251011e-03
3.486026026306662970e+03,1.461558734332329967e-01,1.378290987178731886e-03,1.462637936910926584e-03
3.486700537175701811e+03,1.448151490097384642e-01,1.343930704612084082e-03,1.017711593124942526e-03
3.487375042739923629e+03,1.445497058755063347e-01,1.226431792193838355e-03,1.469478112171657136e-03
3.488049542997468961e+03,1.469572587162648880e-01,1.304904958948249760e-03,1.578088818397577198e-03
3.488724037946481076e+03,1.455277065847533635e-01,1.484023784383087241e-03,1.149770565564645075e-03
3.489398527585090505e+03,1.451856695739677239e-01,1.200510822911171616e-03,1.336050143076694674e-03
3.490073011911428239e+03,1.456720838835000031e-01,1.354597916530503321e-03,1.143513595437267716e-03
3.490747490923609803e+03,1.473984169401135191e-01,1.281536880122308153e-03,1.279407154455597384e-03
3.491421964619759365e+03,1.460457316763232871e-01,1.255632623547109361e-03,1.468763039515041946e-03
3.492096432998032469e+03,1.438422166819924297e-01,1.480811619427313541e-03,1.224630650371427709e-03
3.492770896056565107e+03,1.441924137977654286e-01,1.433894234262489409e-03,1.320271652885007807e-03
3.493445353793488266e+03,1.422539645989340240e-01,1.470056391025043041e-03,1.282902345103670294e-03
3.494119806206939757e+03,1.480176899206757102e-01,1.382455993970882480e-03,1.366916243639326733e-03
3.494794253295014641e+03,1.466411498765942123e-01,9.934336314718072991e-04,1.239568126600532061e-03
3.495468695055888475e+03,1.467655712203380092e-01,1.194987608561126624e-03,1.252989096091200460e-03
3.496143131487699520e+03,1.438401191120609879e-01,1.541008175400981894e-03,1.417096405771506307e-03
3.496817562588582859e+03,1.457773578343897203e-01,1.331866813479742895e-03,1.487770212339173392e-03
