#wavelength (nm), radius_ratio (rr), error of rr (+), error of rr (-)
2.788440981011585336e+03,1.517532898279281284e-01,1.956614065351552911e-03,2.072882287546040647e-03
2.789119745563140441e+03,1.494065371668664988e-01,2.171547652780575488e-03,2.110189980668447651e-03
2.789798507389305996e+03,1.482001147046245193e-01,1.670508827433386800e-03,2.233677030227892990e-03
2.790477266486684584e+03,1.499681647598287981e-01,2.406993417297109694e-03,1.903204391915325200e-03
2.791156022851825128e+03,1.504023099019723420e-01,2.102740006550002372e-03,1.834120716312948041e-03
2.791834776481401605e+03,1.467671528079950161e-01,1.896784487927238860e-03,2.227994151907303211e-03
2.792513527372025692e+03,1.469838006523923601e-01,1.922083196577994979e-03,2.400298552625856896e-03
2.793192275520258590e+03,1.514220149254456860e-01,1.920066996524139036e-03,1.627143707287198593e-03
2.793871020922758362e+03,1.488185774481435852e-01,2.091086835626643214e-03,1.923276513364546858e-03
2.794549763576157602e+03,1.479219084895921632e-01,1.722721188302966944e-03,2.127726262725199158e-03
2.795228503477037066e+03,1.476826154238863320e-01,1.576187120640948347e-03,2.284697092164472698e-03
2.795907240622033896e+03,1.481702125268577197e-01,2.196229973222246779e-03,1.788611668299189272e-03
2.796585975007801153e+03,1.456402409122404262e-01,2.093981303101899449e-03,1.765632626820334838e-03
2.797264706630939600e+03,1.545722493731231939e-01,1.856269780224489852e-03,1.784979618271981261e-03
2.797943435488066370e+03,1.526253488544495329e-01,1.956322527438852932e-03,1.837879536884662324e-03
2.798622161575854079e+03,1.479129227204371011e-01,1.891222068460374217e-03,1.732519708289859128e-03
2.799300884890922589e+03,1.507590106861582679e-01,2.034175269308186040e-03,1.837804020874356237e-03
2.799979605429871299e+03,1.491391099076123938e-01,1.791582821376203061e-03,1.740414786251781587e-03
2.800658323189391922e+03,1.510759720721363553e-01,1.827799734854113067e-03,1.894403061923566334e-03
2.801337038166121147e+03,1.502019472939233879e-01,1.994840248918716696e-03,1.644509336514721198e-03
2.802015750356643821e+03,1.491194567563055018e-01,1.824822736080283780e-03,2.046395406316070531e-03
2.802694459757669847e+03,1.520528425792816996e-01,1.642873040317210931e-03,2.006553982384501333e-03
2.803373166365844554e+03,1.508546641914872422e-01,1.950981394031853222e-03,1.637043735048360205e-03
2.804051870177759611e+03,1.479875055027536634e-01,1.790503955074240761e-03,1.968083718622254397e-03
2.804730571190121282e+03,1.469662207468943049e-01,1.863767987692055428e-03,1.946458626128994007e-03
2.805409269399588538e+03,1.473283477803726260e-01,1.412910880939644009e-03,2.091097910621952938e-03
2.806087964802768511e+03,1.528970700532146232e-01,1.658514817885342607e-03,1.983405660687498351e-03
2.806766657396357459e+03,1.475937929196929899e-01,1.398674440374753081e-03,2.021950211937101338e-03
2.807445347177028452e+03,1.466388384420221347e-01,1.712446220640179151e-03,1.534573428764229863e-03
